stage,status
branch_pilot_status,passed_local_improvability
student_engineering_status,trained
student_gate_dev_status,failed
visual_last_block_rescue_status,not_eligible_residual_regression_did_not_fit
round0_closed_loop,not_run_without_valid_branch_dev_threshold
dagger_round1,not_run_round0_prerequisite_failed
dagger_round2,not_run_round0_prerequisite_failed
paired_confirmation_200,not_run_without_dagger_candidate
three_seed,not_run_without_confirmed_candidate
frozen_test,not_run_without_three_seed_promotion
student_status,not_run_gate_dev_failed
